City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
399,whitianga,8,NZ,1600053928,75,-36.83,175.7,57.99,13.0
400,marovoay,29,MG,1600053929,68,-16.1,46.63,68.0,5.82
401,fairbanks,1,US,1600053633,41,64.84,-147.72,57.2,0.65
402,kenai,1,US,1600053929,42,60.55,-151.26,62.6,6.93
403,panchagarh,75,BD,1600053929,94,26.33,88.56,78.8,6.93
404,codrington,79,AU,1600053930,71,-38.27,141.97,56.86,11.5
405,kaele,100,CM,1600053930,93,10.11,14.45,70.92,5.73
406,dhankuta,28,NP,1600053930,78,26.98,87.33,76.42,1.99
407,menongue,0,AO,1600053930,39,-14.66,17.69,53.91,4.52
408,ryotsu,75,JP,1600053930,73,38.08,138.43,75.2,10.29
409,camacha,20,PT,1600053931,83,33.08,-16.33,69.8,5.82
410,inhambane,1,MZ,1600053931,83,-23.86,35.38,68.41,5.26
411,torbay,90,CA,1600053915,81,47.67,-52.73,55.0,11.41
412,broken hill,0,AU,1600053899,34,-31.95,141.43,66.2,13.87
413,oranjestad,20,AW,1600053674,84,12.52,-70.03,86.0,13.87
414,tateyama,75,JP,1600053931,83,34.98,139.87,82.0,8.05
415,hamilton,75,US,1600053931,88,39.18,-84.53,71.01,6.91
416,umm bab,75,QA,1600053932,41,25.21,50.81,91.4,6.93
417,olenegorsk,67,RU,1600053932,90,68.15,33.3,41.07,6.11
418,leningradskiy,100,RU,1600053932,73,69.38,178.42,43.45,7.61
419,kokkola,0,FI,1600053932,71,63.84,23.13,52.0,6.93
420,bozoum,100,CF,1600053933,95,6.32,16.38,68.16,1.95
421,cayenne,40,GF,1600053933,100,4.93,-52.33,77.0,8.84
422,talnakh,40,RU,1600053933,93,69.49,88.4,53.6,13.42
423,sydney,20,AU,1600053806,68,-33.87,151.21,69.01,13.87
424,chemainus,90,CA,1600053933,93,48.92,-123.72,57.0,2.24
425,farafangana,38,MG,1600053933,88,-22.82,47.83,68.0,6.31
426,chunskiy,99,RU,1600053933,80,56.08,99.63,48.36,7.23
427,cassilandia,0,BR,1600053934,26,-19.11,-51.73,73.47,2.82
428,xiaoyi,62,CN,1600053934,58,34.62,109.7,77.56,5.59
429,bengkulu,77,ID,1600053701,71,-3.8,102.27,82.94,6.78
430,sumbe,1,AO,1600053934,89,-11.21,13.84,69.55,2.73
431,baykit,0,RU,1600053934,62,61.67,96.37,59.13,1.01
432,macas,20,EC,1600053935,77,-2.32,-78.12,64.65,3.36
433,ahar,0,IR,1600053935,63,38.48,47.07,59.47,1.68
434,kilimatinde,0,TZ,1600053935,81,-5.85,34.95,60.3,3.33
435,escanaba,1,US,1600053935,93,45.75,-87.06,50.0,3.36
